id,title,current_domain,min_age,action,suggested_content_status,suggested_biblical_domain,suggested_safety_note,notes
social-010,Problem Solving Together,social-emotional,30,KEEP,reviewed,favor_with_man,,
sensory-001,Texture Exploration,pre-academic,0,KEEP,reviewed,wisdom,,
sensory-002,Water Play,pre-academic,6,KEEP,reviewed,wisdom,,
sensory-003,Sensory Bin Exploration,pre-academic,12,KEEP,reviewed,wisdom,,
sensory-004,Music and Movement,pre-academic,6,KEEP,reviewed,wisdom,,
sensory-005,Finger Painting,pre-academic,12,KEEP,reviewed,wisdom,,
sensory-006,Nature Walk Sensory Hunt,pre-academic,12,KEEP,reviewed,wisdom,,
sensory-007,Bubble Play,pre-academic,6,KEEP,reviewed,wisdom,,
sensory-008,Scent Exploration,pre-academic,18,KEEP,reviewed,wisdom,,
sensory-009,Light and Shadow Play,pre-academic,12,KEEP,reviewed,wisdom,,
sensory-010,Messy Play,pre-academic,18,RESTRICT,restricted,wisdom,Warning: Contains shaving cream. Strict adult supervision required. Choking hazard.,Restricted material for age < 36m: shaving cream
cognitive foundations,,,,KEEP,reviewed,,,
cognitive-011,Mirror Discovery,cognitive,3,KEEP,reviewed,wisdom,,
cognitive-012,Treasure Basket,cognitive,6,KEEP,reviewed,wisdom,,
emerging problem-solving,,,,KEEP,reviewed,,,
cognitive-013,Container Fill and Dump,cognitive,12,KEEP,reviewed,wisdom,,
cognitive-014,Simple Shape Matching,cognitive,12,KEEP,reviewed,wisdom,,
cognitive-015,Hidden Sound Game,cognitive,12,KEEP,reviewed,wisdom,,
growing logic,,,,KEEP,reviewed,,,
cognitive-016,Matching Pairs Game,cognitive,24,KEEP,reviewed,wisdom,,
cognitive-017,Simple Sequencing,cognitive,24,KEEP,reviewed,wisdom,,
cognitive-018,Building Instructions,cognitive,24,KEEP,reviewed,wisdom,,
complex thinking,,,,KEEP,reviewed,,,
cognitive-019,Treasure Map Hunt,cognitive,36,KEEP,reviewed,wisdom,,
cognitive-020,What Comes Next?,cognitive,36,KEEP,reviewed,wisdom,,
cognitive-021,Problem-Solving Play,cognitive,36,KEEP,reviewed,wisdom,,
school readiness,,,,KEEP,reviewed,,,
cognitive-022,Classification Games,cognitive,48,KEEP,reviewed,wisdom,,
cognitive-023,Memory Challenge,cognitive,48,KEEP,reviewed,wisdom,,
cognitive-024,Simple Experiments,cognitive,48,KEEP,reviewed,wisdom,,
cognitive-025,Story Problems,cognitive,48,KEEP,reviewed,wisdom,,
foundational movement,,,,KEEP,reviewed,,,
motor-011,Side-Lying Play,motor,0,KEEP,reviewed,stature,,
motor-012,Supported Sitting,motor,4,KEEP,reviewed,stature,,
motor-013,Cruising Practice,motor,8,KEEP,reviewed,stature,,
mobile toddler,,,,KEEP,reviewed,,,
motor-014,Push and Pull Toys,motor,12,KEEP,reviewed,stature,,
motor-015,Outdoor Exploration Walk,motor,12,KEEP,reviewed,stature,,
motor-016,Crayon Grip Practice,motor,18,KEEP,reviewed,stature,,
coordination development,,,,KEEP,reviewed,,,
motor-017,Obstacle Course,motor,24,KEEP,reviewed,stature,,
motor-018,Scissors Introduction,motor,24,KEEP,reviewed,stature,,
motor-019,Kicking Practice,motor,24,KEEP,reviewed,stature,,
refined skills,,,,KEEP,reviewed,,,
motor-020,Tricycle Riding,motor,36,KEEP,reviewed,stature,,
motor-021,Ball Throwing and Catching,motor,36,KEEP,reviewed,stature,,
motor-022,Buttoning Practice,motor,36,KEEP,reviewed,stature,,
school readiness skills,,,,KEEP,reviewed,,,
motor-023,Skipping and Hopping,motor,48,KEEP,reviewed,stature,,
motor-024,Cutting Shapes,motor,48,KEEP,reviewed,stature,,
motor-025,Letter Formation,motor,48,KEEP,reviewed,stature,,
foundation,,,,KEEP,reviewed,,,
language-011,Responsive Cooing,language,0,KEEP,reviewed,wisdom,,
language-012,Sound Effects Play,language,6,KEEP,reviewed,wisdom,,
first words explosion,,,,KEEP,reviewed,,,
language-013,First Words Books,language,12,KEEP,reviewed,wisdom,,
language-014,Action Word Games,language,12,KEEP,reviewed,wisdom,,
language-015,What Sound Does It Make?,language,12,KEEP,reviewed,wisdom,,
sentence building,,,,KEEP,reviewed,,,
language-016,Expanding Sentences,language,24,KEEP,reviewed,wisdom,,
language-017,Puppet Conversations,language,24,KEEP,reviewed,wisdom,,
language-018,Category Naming,language,24,KEEP,reviewed,wisdom,,
narrative skills,,,,KEEP,reviewed,,,
language-019,Story Retelling,language,36,KEEP,reviewed,wisdom,,
language-020,Rhyming Games,language,36,KEEP,reviewed,wisdom,,
language-021,Question Practice,language,36,KEEP,reviewed,wisdom,,
literacy foundation,,,,KEEP,reviewed,,,
language-022,First Sound Identification,language,48,KEEP,reviewed,wisdom,,
language-023,Making Up Stories,language,48,KEEP,reviewed,wisdom,,
language-024,Following Multi-Step Directions,language,48,KEEP,reviewed,wisdom,,
language-025,Print Awareness Activities,language,48,KEEP,reviewed,wisdom,,
attachment foundation,,,,KEEP,reviewed,,,
social-011,Calm Down Together,social-emotional,0,KEEP,reviewed,favor_with_man,,
social-012,Interactive Games,social-emotional,6,KEEP,reviewed,favor_with_man,,
emerging autonomy,,,,KEEP,reviewed,,,
social-013,Big Feelings Naming,social-emotional,12,KEEP,reviewed,favor_with_man,,
social-014,Parallel Play Practice,social-emotional,12,KEEP,reviewed,favor_with_man,,
social-015,Daily Routine Practice,social-emotional,12,KEEP,reviewed,favor_with_man,,
developing self-control,,,,KEEP,reviewed,,,
social-016,Calm Corner Setup,social-emotional,24,KEEP,reviewed,favor_with_man,,
social-017,Feelings Faces,social-emotional,24,KEEP,reviewed,favor_with_man,,
social-018,Waiting Practice Games,social-emotional,24,KEEP,reviewed,favor_with_man,,
perspective taking,,,,KEEP,reviewed,,,
social-019,How Would They Feel?,social-emotional,36,KEEP,reviewed,favor_with_man,,
social-020,Friendly Behavior Practice,social-emotional,36,KEEP,reviewed,favor_with_man,,
social-021,Breathing Exercises,social-emotional,36,KEEP,reviewed,favor_with_man,,
complex social skills,,,,KEEP,reviewed,,,
social-022,Conflict Resolution Practice,social-emotional,48,KEEP,reviewed,favor_with_man,,
social-023,Kindness Missions,social-emotional,48,KEEP,reviewed,favor_with_man,,
social-024,Managing Disappointment,social-emotional,48,KEEP,reviewed,favor_with_man,,
social-025,Group Game Skills,social-emotional,48,KEEP,reviewed,favor_with_man,,
sensory foundations,,,,KEEP,reviewed,,,
preacademic-001,High Contrast Cards,pre-academic,0,KEEP,reviewed,wisdom,,
preacademic-002,Cause Effect Exploration,pre-academic,6,KEEP,reviewed,wisdom,,
early concepts,,,,KEEP,reviewed,,,
preacademic-003,Big and Little,pre-academic,12,KEEP,reviewed,wisdom,,
preacademic-004,One and Two,pre-academic,18,KEEP,reviewed,wisdom,,
preacademic-005,Simple Matching,pre-academic,12,KEEP,reviewed,wisdom,,
growing concepts,,,,KEEP,reviewed,,,
preacademic-006,AB Pattern Making,pre-academic,24,RESTRICT,restricted,wisdom,Warning: Contains beads. Strict adult supervision required. Choking hazard.,Restricted material for age < 36m: beads
preacademic-007,Counting to Five,pre-academic,24,KEEP,reviewed,wisdom,,
preacademic-008,Shape Hunt,pre-academic,24,KEEP,reviewed,wisdom,,
pre-math and literacy,,,,KEEP,reviewed,,,
preacademic-009,Graphing Activities,pre-academic,36,KEEP,reviewed,wisdom,,
preacademic-010,Name Writing Practice,pre-academic,36,KEEP,reviewed,wisdom,,
preacademic-011,Simple Measuring,pre-academic,36,KEEP,reviewed,wisdom,,
school readiness,,,,KEEP,reviewed,,,
preacademic-012,Number Recognition Games,pre-academic,48,KEEP,reviewed,wisdom,,
preacademic-013,Beginning Addition,pre-academic,48,KEEP,reviewed,wisdom,,
preacademic-014,Letter of the Week,pre-academic,48,KEEP,reviewed,wisdom,,
preacademic-015,Science Exploration,pre-academic,48,KEEP,reviewed,wisdom,,
creative-001,Drawing Together,pre-academic,18,KEEP,reviewed,wisdom,,
creative-002,Painting Fun,pre-academic,24,KEEP,reviewed,wisdom,,
creative-003,Playdough Sculpture,pre-academic,18,KEEP,reviewed,wisdom,,
motor-031,Dance Party,motor,12,KEEP,reviewed,stature,,
motor-032,Obstacle Course,motor,24,KEEP,reviewed,stature,,
motor-033,Yoga Poses,motor,24,REMOVE,blacklisted,,,Blacklisted term found: 'yoga'
music-001,Sing-Along,pre-academic,6,KEEP,reviewed,wisdom,,
music-002,Rhythm Instruments,pre-academic,12,KEEP,reviewed,wisdom,,
music-003,Musical Movement,motor,12,KEEP,reviewed,stature,,
science-011,Leaf Collecting,pre-academic,24,KEEP,reviewed,wisdom,,
science-012,Nature Walk,pre-academic,12,KEEP,reviewed,wisdom,,
literacy-011,Story Retelling,language,24,KEEP,reviewed,wisdom,,
literacy-012,Rhyming Games,language,30,KEEP,reviewed,wisdom,,
cognitive-031,Counting Games,cognitive,18,KEEP,reviewed,wisdom,,
cognitive-032,Shape Hunt,cognitive,24,KEEP,reviewed,wisdom,,
